state,parliament,dun
Perak,P.070 Kampar,N.41 Malim Nawar
Perak,P.070 Kampar,N.42 Keranji
Perak,P.070 Kampar,N.42 Tualang Sekah
Perak,P.071 Gopeng,N.43 Sungai Rapat
Perak,P.071 Gopeng,N.44 Simpang Pulai
Perak,P.071 Gopeng,N.45 Teja
Perak,P.072 Tapah,N.46 Chenderiang
Perak,P.072 Tapah,N.47 Ayer Kuning
Perak,P.073 Pasir Salak,N.49 Sungai Manik
Perak,P.073 Pasir Salak,N.50 Kampong Gajah
Perak,P.074 Lumut,N.51 Pasir Panjang
Perak,P.074 Lumut,N.52 Pangkor
Perak,P.075 Bagan Datuk,N.53 Rungkup
Perak,P.075 Bagan Datuk,N.54 Hutan Melintang
Perak,P.076 Teluk Intan,N.55 Pasir Bedamar
Perak,P.076 Teluk Intan,N.56 Changkat Jong
Perak,P.077 Tanjung Malim,N.57 Sungkai
Perak,P.077 Tanjung Malim,N.58 Slim
Perak,P.077 Tanjung Malim,N.59 Behrang
Pahang,P.078 Cameron Highlands,N.01 Tanah Rata
Pahang,P.078 Cameron Highlands,N.02 Jelai
Pahang,P.079 Lipis,N.03 Padang Tengku
Pahang,P.079 Lipis,N.04 Cheka
Pahang,P.079 Lipis,N.05 Benta
Pahang,P.080 Raub,N.06 Batu Talam
Pahang,P.080 Raub,N.07 Tras
Pahang,P.080 Raub,N.08 Dong
Pahang,P.081 Jerantut,N.09 Tahan
Pahang,P.081 Jerantut,N.10 Damak
Pahang,P.081 Jerantut,N.11 Pulau Tawar
Pahang,P.082 Indera Mahkota,N.12 Beserah
Pahang,P.082 Indera Mahkota,N.13 Semambu
Pahang,P.083 Kuantan,N.14 Teruntum
Pahang,P.083 Kuantan,N.15 Tanjung Lumpur
Pahang,P.083 Kuantan,N.16 Inderapura
Pahang,P.084 Paya Besar,N.17 Sungai Lembing
Pahang,P.084 Paya Besar,N.18 Lepar
Pahang,P.084 Paya Besar,N.19 Panching
Pahang,P.085 Pekan,N.20 Pulau Manis
Pahang,P.085 Pekan,N.21 Peramu Jaya
Pahang,P.085 Pekan,N.22 Bebar
Pahang,P.085 Pekan,N.23 Chini
Pahang,P.086 Maran,N.24 Luit
Pahang,P.086 Maran,N.25 Kuala Sentul
Pahang,P.086 Maran,N.26 Chenor
Pahang,P.087 Kuala Krau,N.27 Jenderak
Pahang,P.087 Kuala Krau,N.28 Kerdau
Pahang,P.087 Kuala Krau,N.29 Jengka
Pahang,P.088 Temerloh,N.30 Mentakab
Pahang,P.088 Temerloh,N.31 Lanchang
Pahang,P.088 Temerloh,N.32 Kuala Semantan
Pahang,P.089 Bentong,N.33 Bilut
Pahang,P.089 Bentong,N.34 Ketari
Pahang,P.089 Bentong,N.35 Sabai
Pahang,P.089 Bentong,N.36 Pelangai
Pahang,P.090 Bera,N.37 Guai
Pahang,P.090 Bera,N.38 Triang
Pahang,P.090 Bera,N.39 Kemayan
Pahang,P.091 Rompin,N.40 Bukit Ibam
Pahang,P.091 Rompin,N.41 Muadzam Shah
Pahang,P.091 Rompin,N.42 Tioman
Selangor,P.092 Sabak Bernam,N.01 Sungai Air Tawar
Selangor,P.092 Sabak Bernam,N.02 Sabak
Selangor,P.093 Sungai Besar,N.03 Sungai Panjang
